5'_PARTNER_GENE 3'_PARTNER_GENE
MLL TET1
MLL ZFYVE19
MN1 ETV6
MN1 ETV6
MN1 ETV6
MNX1 ETV6
MNX1 ETV6
MNX1 ETV6
MSI2 HOXA9
MSN ALK
MSN ALK
MSN ALK
MSN ALK
MSN ALK
MYB GATA1
MYB NFIB
MYC Ig
MYC Ig
MYC Ig
MYC Ig
MYC Ig
MYC Ig
MYC Ig
MYC ZBTB5
MYC ZBTB5
MYH9 ALK
MYO18A FGFR1
MYST3 ASXL2
MYST3 CREBBP
MYST3 CREBBP
MYST3 CREBBP
MYST3 CREBBP
MYST3 CREBBP
MYST3 CREBBP
MYST3 CREBBP
MYST3 CREBBP
MYST3 CREBBP
MYST3 CREBBP
MYST3 CREBBP
MYST3 CREBBP
MYST3 CREBBP
MYST3 NCOA2
MYST3 NCOA3
MYST4 CREBBP
MYST4 CREBBP
MYST4 CREBBP
MYST4 CREBBP
MYST4 CREBBP
MYST4 CREBBP
NAV2 TCF7L1
NCOA4 RET
NCOA4 RET
NCOA4 RET
NCOA4 RET
NCOA4 RET
NCOA4 RET
NCOA4 RET
NCOA4 RET
NCOA4 RET
NCOA4 RET
NCOA4 RET
NCOA4 RET
NCOA4 RET
NCOA4 RET
NCOA4 RET
NDE1 PDGFRB
NDRG1 ERG
NDRG1 ERG
NFKB2 INA
NFKB2 TBXAS1
NIN PDGFRB
NONO TFE3
NOTCH1 TCR
NPM1 ALK
NPM1 ALK
NPM1 ALK
NPM1 MLF1
NPM1 RARA
NPM1 RARA
NSD1 ANKRD28
NUMA1 RARA
NUMA1 RARA
NUP214 ABL1
NUP214 ABL1
NUP214 ABL1
NUP214 ABL1
NUP214 ABL1
NUP214 DEK
NUP98 ADD3
NUP98 ADD3
NUP98 CCDC28A
NUP98 DDX10
NUP98 DDX10
NUP98 HHEX
NUP98 HHEX
NUP98 HMGB3
NUP98 HOXA11
NUP98 HOXA11
NUP98 HOXA13
NUP98 HOXA9
NUP98 HOXA9
NUP98 HOXC11
NUP98 HOXC11
NUP98 HOXC11
NUP98 HOXC11
NUP98 HOXC13
NUP98 HOXC13
NUP98 HOXD11
NUP98 HOXD13
NUP98 IQCG
NUP98 KDM5A
NUP98 LNP1
NUP98 MLL
NUP98 NSD1
NUP98 NSD1
NUP98 NSD1
NUP98 NSD1
NUP98 NSD1
NUP98 NSD1
NUP98 NSD1
NUP98 NSD1
NUP98 PRRX1
NUP98 PRRX1
NUP98 PRRX1
NUP98 PRRX2
NUP98 PSIP1
NUP98 PSIP1
NUP98 RAP1GDS1
NUP98 RAP1GDS1
NUP98 SETBP1
NUP98 TOP1
NUP98 TOP1
NUP98 TOP1
NUP98 TOP1
NUP98 TOP1
NUP98 WHSC1L1
OMD USP6
P2RY8 CRLF2
PAX3 NCOA1
PAX3 NCOA1
PAX3 NCOA1
PAX3 NCOA2
PAX5 AUTS2
PAX5 BRD1
PAX5 C20orf112
PAX5 C20orf112
PAX5 C20orf112
PAX5 C20orf112
PAX5 DACH1
PAX5 ELN
PAX5 ETV6
PAX5 ETV6
PAX5 ETV6
PAX5 ETV6
PAX5 ETV6
PAX5 ETV6
PAX5 ETV6
PAX5 ETV6
PAX5 ETV6
PAX5 ETV6
PAX5 ETV6
PAX5 FOXP1
PAX5 FOXP1
PAX5 HIPK1
PAX5 JAK2
PAX5 PML
PAX5 POM121
PAX5 SLCO1B3
PAX5 ZNF521
PAX8 PPARG
PAX8 PPARG
PAX8 PPARG
PAX8 PPARG
PAX8 PPARG
PAX8 PPARG
PAX8 PPARG
PAX8 PPARG
PCM1 JAK2
PCM1 JAK2
PCM1 JAK2
PCM1 JAK2
PCM1 JAK2
PCM1 RET
PDE4DIP PDGFRB
PEX5 LPL
PICALM MLLT10
PICALM MLLT10
PICALM MLLT10
PICALM MLLT10
PICALM MLLT10
PICALM MLLT10
PICALM MLLT10
PICALM MLLT10
PICALM MLLT10
PICALM MLLT10
PIM1 BCL6
PIM1 BCL6
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
PML RARA
POU2AF1 BCL6
PPP2R2A CHEK2
PRKAR1A RARA
PRKAR1A RARA
PRKAR1A RET
PRKAR1A RET
PRKG2 PDGFRB
PRKG2 PDGFRB
PRKG2 PDGFRB
PVRL2 TCR
RABEP1 PDGFRB
RANBP17 TCR
RANBP2 ALK
RANBP2 ALK
RANBP2 ALK
RBM15 MKL1
RBM15 MKL1
RBM15 MKL1
RBM15 MKL1
RBM6 CSF1R
RCSD1 ABL1
RCSD1 ABL1
RNF213 ALK
RPN1 MECOM
RUNX1 AFF3
RUNX1 CBFA2T3
RUNX1 CBFA2T3
RUNX1 CBFA2T3
RUNX1 CBFA2T3
RUNX1 CLCA2
RUNX1 CLCA2
RUNX1 CLCA2
RUNX1 LPXN
RUNX1 LPXN
RUNX1 LPXN
RUNX1 MACROD1
RUNX1 MACROD1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 RUNX1T1
RUNX1 SH3D19
RUNX1 SH3D19
RUNX1 TRPS1
RUNX1 USP42
RUNX1 YTHDF2
RUNX1 ZNF687
RYK ATP5O
SEC31A ALK
SEC31A ALK
SEC31A JAK2
SENP6 NKAIN2
SET NUP214
SET NUP214
SFPQ ABL1
SFPQ TFE3
SFRS3 BCL6
SLC34A2 ROS1
SLC34A2 ROS1
SLC45A3 BRAF
SLC45A3 ELK4
